board,class_grade,subject,chapter,topic,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,type,difficulty,marks
CBSE,Class 10,Mathematics,Coordinate Geometry,Distance Formula,"What is the coordinate of the origin point on a 2D Cartesian plane?",,,,,"(0,0)","The intersection of the x-axis and y-axis is the origin, denoted by coordinates (0, 0).",Objective,simple,1
CBSE,Class 10,Science,Metals and Non-metals,Properties of Metals,"Name the only liquid metal at standard room temperature.",,,,,"Mercury","Mercury (Hg) is the only metal that remains in liquid form at room temperature.",Objective,simple,1
CBSE,Class 10,Mathematics,Triangles,Pythagoras Theorem,"In a right-angled triangle, perpendicular is 6 cm and base is 8 cm. Find the length of the hypotenuse in cm.",,,,,"10","Using Pythagoras theorem: Hypotenuse = sqrt(6^2 + 8^2) = sqrt(36 + 64) = sqrt(100) = 10 cm.",Numerical,simple,1
CBSE,Class 10,Science,Electricity,Electric Power,"An electric bulb draws a current of 0.5 A from a 220 V source. Calculate the power of the bulb in Watts.",,,,,"110","Electric power P = V * I = 220 V * 0.5 A = 110 Watts.",Numerical,simple,1
CBSE,Class 10,Science,Electricity,Electric Current,"Calculate the total electric charge in Coulombs when a current of 2 A flows through a circuit for 5 minutes.",,,,,"600","Electric charge Q = I * t = 2 A * (5 * 60 s) = 600 Coulombs.",Numerical,medium,2
CBSE,Class 10,Mathematics,Arithmetic Progressions,nth Term of AP,"Find the 10th term of the Arithmetic Progression: 2, 7, 12, 17, ...",,,,,"47","Here a = 2, d = 5. nth term an = a + (n-1)d = 2 + (10 - 1)*5 = 2 + 45 = 47.",Numerical,medium,2
CBSE,Class 10,Science,Life Processes,Circulatory System,"Explain the process and significance of double circulation in human heart.",,,,,"Blood flows through the heart twice in one complete cycle (pulmonary and systemic). It prevents mixing of oxygenated and deoxygenated blood.","Double circulation consists of pulmonary circulation (heart to lungs) and systemic circulation (heart to body), ensuring highly efficient oxygen delivery to vital organs.",Long Answer,hard,5
CBSE,Class 10,Mathematics,Quadratic Equations,Derivation,"State the quadratic formula and explain how the discriminant determines the nature of roots.",,,,,"x = (-b +- sqrt(b^2-4ac))/(2a). If D > 0 real and distinct, D = 0 equal roots, D < 0 no real roots.","The discriminant D = b^2 - 4ac dictates whether solutions are two distinct real numbers, one repeated real root, or imaginary.",Long Answer,hard,5
CBSE,Class 10,Science,Human Eye and Colourful World,Atmospheric Refraction,"Explain the phenomenon of twinkling of stars and why planets do not twinkle.",,,,,"Stars twinkle due to continuous atmospheric refraction of point light sources. Planets are closer and appear as extended sources averaging out refraction.","Stars act as point sources whose rays bend continuously through moving atmospheric layers of varying densities. Planets act as extended disk sources where fluctuations cancel out.",Long Answer,hard,5
CBSE,Class 10,Science,Chemical Reactions and Equations,Redox Reactions,"Define oxidation, reduction, oxidizing agent, and reducing agent with a balanced chemical equation example.",,,,,"Oxidation is gain of oxygen/loss of electrons. Reduction is loss of oxygen/gain of electrons. Example: CuO + H2 -> Cu + H2O.","In CuO + H2 -> Cu + H2O, CuO is reduced to Cu (acting as oxidizing agent) and H2 is oxidized to H2O (acting as reducing agent).",Long Answer,hard,5
